Serial_Number,Country_Region,Date_FirstFatality,Date_FirstConfirmedCase,Lockdown_Date,Lockdown_Type,Latitude,Tourism,Population_Size,Mean_Age,Longtitude
109,South Africa,2020-03-28 00:00:00,2020-03-06 00:00:00,2020-03-26 00:00:00.000,Full,-30.559482,10472000,57779622,26.1,22.937506
110,Spain,2020-03-04 00:00:00,2020-02-02 00:00:00,2020-03-14 00:00:00.000,Full,40.463667,NaN,46796540,43.2,NaN
111,Sri Lanka,2020-03-29 00:00:00,2020-01-28 00:00:00,2020-03-21 00:00:00.000,,7.873054,2334000,NaN,32.3,NaN
113,Switzerland,2020-03-06 00:00:00,2020-02-26 00:00:00,2020-03-18 00:00:00.000,Full,46.818188,10362000,NaN,NaN,8.227512
114,Thailand,2020-03-02 00:00:00,2020-01-23 00:00:00,2020-03-22 00:00:00.000,Partial,NaN,NaN,69428524,37.8,NaN
115,Togo,2020-03-28 00:00:00,2020-03-07 00:00:00,2020-03-20 00:00:00.000,,8.619543,573000,NaN,18.9,0.824782
116,Trinidad and Tobago,2020-03-26 00:00:00,2020-03-15 00:00:00,2020-03-13 00:00:00.000,Full,10.691803,375000,1389858,NaN,NaN
117,Tunisia,2020-03-20 00:00:00,2020-03-05 00:00:00,2020-03-20 00:00:00.000,Full,33.886917,8299000,NaN,31.1,9.537499
118,Turkey,2020-03-18 00:00:00,2020-03-12 00:00:00,2020-03-23 00:00:00.000,Full,38.963745,45768000,NaN,29.9,NaN
120,Ukraine,2020-03-14 00:00:00,2020-03-04 00:00:00,2020-03-17 00:00:00.000,,NaN,NaN,44622516,40.3,31.16558
